The SAS System                                                                     14:43 Thursday, December 11, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
asian_ed           670202       3.0720440      27.5677120               0      20.0000000
black_ed           670202       0.8108747      14.8051621               0      20.0000000
asian_coll         670202       0.0887200       1.3215786               0       1.0000000
black_coll         670202       0.0123410       0.5131393               0       1.0000000
hisp_ed            670202       3.8313846      25.0280822               0      20.0000000
hisp_coll          670202       0.0305986       0.8004957               0       1.0000000
p1                 670202       0.1210884       0.4495503     0.000692260       0.6484119
p2                 670202       0.1140654       0.2990777       0.0018950       0.2315477
p3                 670202       0.1034787       0.2112865       0.0035811       0.1591841
p4                 670202       0.1082388       0.1594229       0.0077400       0.1439071
p5                 670202       0.1017310       0.1201514       0.0136687       0.1332594
p6                 670202       0.0932629       0.1046522       0.0227769       0.1217200
p7                 670202       0.1022932       0.1611697       0.0155478       0.1489274
p8                 670202       0.0891573       0.2272492       0.0070955       0.1707784
p9                 670202       0.0825630       0.3131853       0.0025081       0.2328081
p10                670202       0.0841213       0.4772577     0.000404735       0.5907050
rmsa               670202         4240.74        11920.98               0         9320.00
dev                457870      -0.0730286       3.2326568      -1.3346969       2.8650082
devsq              457870       0.4880058       3.6075199    1.448533E-10       8.2082717
nonmover           670202               0               0               0               0
emp                670202       0.7592744       1.9870872               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                     14:43 Thursday, December 11, 2008   7

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      -1 |1.251E8 |6528148 |1.317E8
         |  85.63 |   4.47 |  90.09
         |  95.04 |   4.96 |
         |  93.74 |  51.61 |
---------+--------+--------+
       1 |  23820 |3313856 |3337676
         |   0.02 |   2.27 |   2.28
         |   0.71 |  99.29 |
         |   0.02 |  26.20 |
---------+--------+--------+
       2 | 666407 |  40624 | 707031
         |   0.46 |   0.03 |   0.48
         |  94.25 |   5.75 |
         |   0.50 |   0.32 |
---------+--------+--------+
       3 | 366857 |   2014 | 368871
         |   0.25 |   0.00 |   0.25
         |  99.45 |   0.55 |
         |   0.27 |   0.02 |
---------+--------+--------+
       4 | 390038 |    820 | 390858
         |   0.27 |   0.00 |   0.27
         |  99.79 |   0.21 |
         |   0.29 |   0.01 |
---------+--------+--------+
       5 |   3237 | 364039 | 367276
         |   0.00 |   0.25 |   0.25
         |   0.88 |  99.12 |
         |   0.00 |   2.88 |
---------+--------+--------+
       6 | 385728 |    685 | 386413
         |   0.26 |   0.00 |   0.26
         |  99.82 |   0.18 |
         |   0.29 |   0.01 |
---------+--------+--------+
       7 |   6648 | 535479 | 542127
         |   0.00 |   0.37 |   0.37
         |   1.23 |  98.77 |
         |   0.00 |   4.23 |
---------+--------+--------+
Total     1.335E8  1.265E7  1.461E8
            91.35     8.65   100.00
(Continued)
The SAS System                                                                     14:43 Thursday, December 11, 2008   8

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
       8 |   3637 | 269189 | 272826
         |   0.00 |   0.18 |   0.19
         |   1.33 |  98.67 |
         |   0.00 |   2.13 |
---------+--------+--------+
       9 | 440235 |    523 | 440758
         |   0.30 |   0.00 |   0.30
         |  99.88 |   0.12 |
         |   0.33 |   0.00 |
---------+--------+--------+
      10 | 251972 |   3545 | 255517
         |   0.17 |   0.00 |   0.17
         |  98.61 |   1.39 |
         |   0.19 |   0.03 |
---------+--------+--------+
      11 | 445201 |   1891 | 447092
         |   0.30 |   0.00 |   0.31
         |  99.58 |   0.42 |
         |   0.33 |   0.01 |
---------+--------+--------+
      12 |   4309 | 236953 | 241262
         |   0.00 |   0.16 |   0.17
         |   1.79 |  98.21 |
         |   0.00 |   1.87 |
---------+--------+--------+
      13 |   2626 | 173455 | 176081
         |   0.00 |   0.12 |   0.12
         |   1.49 |  98.51 |
         |   0.00 |   1.37 |
---------+--------+--------+
      14 | 501259 |   2793 | 504052
         |   0.34 |   0.00 |   0.34
         |  99.45 |   0.55 |
         |   0.38 |   0.02 |
---------+--------+--------+
      15 | 166025 |  12210 | 178235
         |   0.11 |   0.01 |   0.12
         |  93.15 |   6.85 |
         |   0.12 |   0.10 |
---------+--------+--------+
Total     1.335E8  1.265E7  1.461E8
            91.35     8.65   100.00
(Continued)
The SAS System                                                                     14:43 Thursday, December 11, 2008   9

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      16 | 211731 |    523 | 212254
         |   0.14 |   0.00 |   0.15
         |  99.75 |   0.25 |
         |   0.16 |   0.00 |
---------+--------+--------+
      17 | 198120 |    284 | 198404
         |   0.14 |   0.00 |   0.14
         |  99.86 |   0.14 |
         |   0.15 |   0.00 |
---------+--------+--------+
      18 | 426602 |   1655 | 428257
         |   0.29 |   0.00 |   0.29
         |  99.61 |   0.39 |
         |   0.32 |   0.01 |
---------+--------+--------+
      19 | 314267 |   1781 | 316048
         |   0.22 |   0.00 |   0.22
         |  99.44 |   0.56 |
         |   0.24 |   0.01 |
---------+--------+--------+
      20 |   1867 | 112328 | 114195
         |   0.00 |   0.08 |   0.08
         |   1.63 |  98.37 |
         |   0.00 |   0.89 |
---------+--------+--------+
      21 | 233029 |    527 | 233556
         |   0.16 |   0.00 |   0.16
         |  99.77 |   0.23 |
         |   0.17 |   0.00 |
---------+--------+--------+
      22 | 166164 |    426 | 166590
         |   0.11 |   0.00 |   0.11
         |  99.74 |   0.26 |
         |   0.12 |   0.00 |
---------+--------+--------+
      23 |   3652 |  79465 |  83117
         |   0.00 |   0.05 |   0.06
         |   4.39 |  95.61 |
         |   0.00 |   0.63 |
---------+--------+--------+
Total     1.335E8  1.265E7  1.461E8
            91.35     8.65   100.00
(Continued)
The SAS System                                                                     14:43 Thursday, December 11, 2008  10

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      24 |   4770 | 110588 | 115358
