The SAS System                                                                          17:16 Friday, March 22, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
      11 |  16442 |     55 |  16497
         |   0.38 |   0.00 |   0.38
         |  99.67 |   0.33 |
         |   0.40 |   0.02 |
---------+--------+--------+
      12 |    173 |   3731 |   3904
         |   0.00 |   0.09 |   0.09
         |   4.43 |  95.57 |
         |   0.00 |   1.43 |
---------+--------+--------+
      13 |     74 |   1658 |   1732
         |   0.00 |   0.04 |   0.04
         |   4.27 |  95.73 |
         |   0.00 |   0.63 |
---------+--------+--------+
      14 |  17320 |    112 |  17432
         |   0.40 |   0.00 |   0.40
         |  99.36 |   0.64 |
         |   0.42 |   0.04 |
---------+--------+--------+
      15 |   2374 |    147 |   2521
         |   0.05 |   0.00 |   0.06
         |  94.17 |   5.83 |
         |   0.06 |   0.06 |
---------+--------+--------+
Total     4103468   261126  4364594
            94.02     5.98   100.00
(Continued)
The SAS System                                                                          17:16 Friday, March 22, 2019   9

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      16 |   6435 |     25 |   6460
         |   0.15 |   0.00 |   0.15
         |  99.61 |   0.39 |
         |   0.16 |   0.01 |
---------+--------+--------+
      17 |   1714 |      3 |   1717
         |   0.04 |   0.00 |   0.04
         |  99.83 |   0.17 |
         |   0.04 |   0.00 |
---------+--------+--------+
      18 |  13400 |     46 |  13446
         |   0.31 |   0.00 |   0.31
         |  99.66 |   0.34 |
         |   0.33 |   0.02 |
---------+--------+--------+
      19 |  13063 |     98 |  13161
         |   0.30 |   0.00 |   0.30
         |  99.26 |   0.74 |
         |   0.32 |   0.04 |
---------+--------+--------+
      20 |     46 |   2328 |   2374
         |   0.00 |   0.05 |   0.05
         |   1.94 |  98.06 |
         |   0.00 |   0.89 |
---------+--------+--------+
      21 |   4639 |     26 |   4665
         |   0.11 |   0.00 |   0.11
         |  99.44 |   0.56 |
         |   0.11 |   0.01 |
---------+--------+--------+
      22 |   1788 |     15 |   1803
         |   0.04 |   0.00 |   0.04
         |  99.17 |   0.83 |
         |   0.04 |   0.01 |
---------+--------+--------+
      23 |    136 |    865 |   1001
         |   0.00 |   0.02 |   0.02
         |  13.59 |  86.41 |
         |   0.00 |   0.33 |
---------+--------+--------+
Total     4103468   261126  4364594
            94.02     5.98   100.00
(Continued)
The SAS System                                                                          17:16 Friday, March 22, 2019  10

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      24 |    108 |   1451 |   1559
         |   0.00 |   0.03 |   0.04
         |   6.93 |  93.07 |
         |   0.00 |   0.56 |
---------+--------+--------+
      25 |   2337 |      8 |   2345
         |   0.05 |   0.00 |   0.05
         |  99.66 |   0.34 |
         |   0.06 |   0.00 |
---------+--------+--------+
      26 |     47 |    909 |    956
         |   0.00 |   0.02 |   0.02
         |   4.92 |  95.08 |
         |   0.00 |   0.35 |
---------+--------+--------+
      27 |   1220 |     29 |   1249
         |   0.03 |   0.00 |   0.03
         |  97.68 |   2.32 |
         |   0.03 |   0.01 |
---------+--------+--------+
      28 |    808 |      7 |    815
         |   0.02 |   0.00 |   0.02
         |  99.14 |   0.86 |
         |   0.02 |   0.00 |
---------+--------+--------+
      29 |   1681 |     10 |   1691
         |   0.04 |   0.00 |   0.04
         |  99.41 |   0.59 |
         |   0.04 |   0.00 |
---------+--------+--------+
      30 |   1822 |     91 |   1913
         |   0.04 |   0.00 |   0.04
         |  95.24 |   4.76 |
         |   0.04 |   0.03 |
---------+--------+--------+
      31 |  30319 |   2070 |  32389
         |   0.69 |   0.05 |   0.74
         |  93.61 |   6.39 |
         |   0.74 |   0.79 |
---------+--------+--------+
Total     4103468   261126  4364594
            94.02     5.98   100.00
(Continued)
The SAS System                                                                          17:16 Friday, March 22, 2019  11

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      32 |   7418 |     50 |   7468
         |   0.17 |   0.00 |   0.17
         |  99.33 |   0.67 |
         |   0.18 |   0.02 |
---------+--------+--------+
      33 |   4174 |     80 |   4254
         |   0.10 |   0.00 |   0.10
         |  98.12 |   1.88 |
         |   0.10 |   0.03 |
---------+--------+--------+
      34 |   4828 |     64 |   4892
         |   0.11 |   0.00 |   0.11
         |  98.69 |   1.31 |
         |   0.12 |   0.02 |
---------+--------+--------+
      35 |   1793 |   3714 |   5507
         |   0.04 |   0.09 |   0.13
         |  32.56 |  67.44 |
