The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
exp3               661098      15.6839714     103.2583394     0.000999999      91.1250000
ic                 661098      14.5746342      59.7472068       1.0000000      38.0000000
yrsinus            661098      14.8484961      51.2532958       1.5000000      45.0000000
pre_exp            661098       4.1588975      53.3186748     -27.5000000      43.5000000
pre_exp1           661098       0.1992607       1.8535294               0       1.0000000
yrsinus2           661098     342.4771728         2102.82       2.2500000         2025.00
euro               661098       0.2265703       1.9424728               0       1.0000000
hi_asian           661098       0.1103713       1.4540372               0       1.0000000
mid_asian          661098       0.1030414       1.4107017               0       1.0000000
mex                661098       0.2307084       1.9548806               0       1.0000000
euro_ed            661098       2.8930461      26.1339668               0      20.0000000
euro_coll          661098       0.0582281       1.0866312               0       1.0000000
hi_asian_ed        661098       1.5748303      21.4694446               0      20.0000000
hi_asian_coll      661098       0.0529864       1.0394496               0       1.0000000
mid_asian_ed       661098       1.3131173      19.0389431               0      20.0000000
mid_asian_coll     661098       0.0351267       0.8542738               0       1.0000000
mex_ed             661098       1.7842014      18.0103438               0      20.0000000
mex_coll           661098       0.0068035       0.3814416               0       1.0000000
euro_yrs           661098       5.1014319      52.5131595               0      45.0000000
hi_asian_yrs       661098       1.2601300      21.2410097               0      45.0000000
mid_asian_yrs      661098       1.2210320      21.1431137               0      45.0000000
mex_yrs            661098       2.9954580      32.9801580               0      45.0000000
euro_yrs2          661098     154.0954229         1886.24               0         2025.00
hi_asian_yrs2      661098      22.5417951     536.3837750               0         2025.00
mid_asian_yrs2     661098      22.2520864     566.1936280               0         2025.00
mex_yrs2           661098      59.4876504     945.8376044               0         2025.00
-----------------------------------------------------------------------------------------
The SAS System                                                                       21:11 Wednesday, March 27, 2019   6

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
imm_ed             661098      11.3055372      21.6157864               0      20.0000000
imm_coll           661098       0.2106215       1.8920695               0       1.0000000
asian              661098       0.0012377       0.1631508               0       1.0000000
black              661098       0.0076631       0.4046444               0       1.0000000
asian_ed           661098       0.0146542       2.0148936               0      20.0000000
black_ed           661098       0.1031479       5.6636089               0      20.0000000
asian_coll         661098     0.000187498       0.0635332               0       1.0000000
black_coll         661098       0.0027631       0.2435789               0       1.0000000
hisp_ed            661098       3.8159925      24.9713527               0      20.0000000
hisp_coll          661098       0.0306479       0.7998055               0       1.0000000
p1                 661098       0.1213362       0.4452571     0.000692260       0.5973278
p2                 661098       0.1151965       0.3052575       0.0018950       0.2315477
p3                 661098       0.1038964       0.2152796       0.0035811       0.1591841
p4                 661098       0.1080086       0.1617251       0.0077400       0.1439071
p5                 661098       0.1011316       0.1210239       0.0136687       0.1332594
p6                 661098       0.0924879       0.1052476       0.0241473       0.1217200
p7                 661098       0.1015167       0.1632185       0.0169116       0.1489274
p8                 661098       0.0889584       0.2312582       0.0072776       0.1707784
p9                 661098       0.0830519       0.3188238       0.0034267       0.2328081
p10                661098       0.0844160       0.4816430     0.000652367       0.5907050
rmsa               661098         4253.95        11847.68               0         9320.00
dev                452447      -0.0684389       3.2206705      -1.3346969       2.8650082
devsq              452447       0.4846850       3.5894776    1.448533E-10       8.2082717
nonmover           661098               0               0               0               0
emp                661098       0.7619076       1.9763642               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                       21:11 Wednesday, March 27, 2019   7

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      -1 |1.228E8 |6314426 |1.291E8
         |  85.67 |   4.40 |  90.07
         |  95.11 |   4.89 |
         |  93.71 |  51.31 |
---------+--------+--------+
       1 |  23395 |3260692 |3284087
         |   0.02 |   2.27 |   2.29
         |   0.71 |  99.29 |
         |   0.02 |  26.49 |
---------+--------+--------+
       2 | 657736 |  39354 | 697090
         |   0.46 |   0.03 |   0.49
         |  94.35 |   5.65 |
         |   0.50 |   0.32 |
---------+--------+--------+
       3 | 363244 |   1998 | 365242
         |   0.25 |   0.00 |   0.25
         |  99.45 |   0.55 |
         |   0.28 |   0.02 |
---------+--------+--------+
       4 | 386230 |    820 | 387050
         |   0.27 |   0.00 |   0.27
         |  99.79 |   0.21 |
         |   0.29 |   0.01 |
---------+--------+--------+
       5 |   3126 | 360225 | 363351
         |   0.00 |   0.25 |   0.25
         |   0.86 |  99.14 |
         |   0.00 |   2.93 |
---------+--------+--------+
       6 | 381949 |    685 | 382634
         |   0.27 |   0.00 |   0.27
         |  99.82 |   0.18 |
         |   0.29 |   0.01 |
---------+--------+--------+
       7 |   6400 | 526773 | 533173
         |   0.00 |   0.37 |   0.37
         |   1.20 |  98.80 |
         |   0.00 |   4.28 |
---------+--------+--------+
Total     1.311E8  1.231E7  1.434E8
            91.42     8.58   100.00
(Continued)
The SAS System                                                                       21:11 Wednesday, March 27, 2019   8

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
